query,category
How can I book a flight online?,booking
What is the baggage allowance for domestic flights?,baggage
Can I change my flight date after booking?,booking
How do I request a refund for a cancelled flight?,refund
What are the check-in procedures at Lagos airport?,check-in
Do you offer in-flight meals on international flights?,services
Is there a loyalty program for frequent flyers?,loyalty
Can I carry a pet on board your flights?,baggage
What documents do I need for international travel?,travel_documents
How early should I arrive at the airport before departure?,check-in
How do I contact customer service for assistance?,contact
What are the COVID-19 travel requirements for Ibom Airline?,health
Can I get a seat upgrade to business class?,services
How do I access the airport lounge at Abuja airport?,services
What are the available payment options for booking tickets?,payment
Is there Wi-Fi available on your flights?,services
How do I track the status of my flight?,flight_status
Can I cancel my flight booking online?,booking
Do you provide special assistance for disabled passengers?,special_assistance
What are the routes operated by Ibom Airline?,routes
How can I check my flight schedule and timings?,flight_status
What is your policy on flight delays and compensations?,policy
Can I purchase travel insurance with my ticket?,services
What is the procedure for reporting lost baggage?,baggage
Are there any discounts available for group bookings?,booking
How can I make changes to my reservation?,booking
What are the terms and conditions for ticket refunds?,refund
Do you offer student discounts on flight tickets?,discounts
How do I earn and redeem loyalty points?,loyalty
What are the rules for carrying sports equipment?,baggage
Can I book an extra seat for additional comfort?,services
What is the fee for excess baggage?,baggage
How do I update my contact information in my booking?,booking
Are there any special meals available for dietary restrictions?,services
Can I travel with an infant? What are the requirements?,travel_with_infant
How can I book a flight using my loyalty points?,loyalty
What should I do if my flight is delayed?,flight_status
Do you offer any holiday packages?,services
What are the carry-on baggage restrictions?,baggage
How can I check in online for my flight?,check-in
Are there any vaccination requirements for international travel?,health
Can I request a specific seat during booking?,services
How do I cancel my flight and get a refund?,refund
What are the procedures for missed flights?,policy
Can I reschedule my flight to a later date?,booking
What are the baggage allowances for infants?,baggage
How can I provide feedback about my flight experience?,feedback
Is there a mobile app for managing my bookings?,services
